"","V1"
"1",429.1050109863
"2",458.0480041504
"3",453.2300109863
"4",447.6109924316
"5",447.9909973145
"6",448.4280090332
"7",435.6900024414
"8",432.3710021973
"9",430.3059997559
"10",364.3309936523
"11",387.5360107422
"12",382.2990112305
"13",387.1679992676
"14",380.1489868164
"15",420.2300109863
"16",410.2619934082
"17",382.4920043945
"18",387.4909973145
"19",402.9710083008
"20",391.7260131836
"21",392.1530151367
"22",394.9719848633
"23",380.2890014648
"24",379.4739990234
"25",378.2550048828
"26",368.766998291
"27",373.0559997559
"28",374.4479980469
"29",369.949005127
"30",389.5939941406
"31",386.5490112305
"32",376.5220031738
"33",376.6199951172
"34",373.4469909668
"35",376.0289916992
"36",381.6489868164
"37",379.6539916992
"38",384.2630004883
"39",391.8599853516
"40",407.2300109863
"41",400.1849975586
"42",407.4880065918
"43",416.3219909668
"44",422.3729858398
"45",420.7850036621
"46",437.1640014648
"47",438.7980041504
"48",437.7479858398
"49",420.7359924316
"50",424.9549865723
"51",424.5440063477
"52",432.1520080566
"53",432.5190124512
"54",433.5039978027
"55",437.6969909668
"56",435.1229858398
"57",423.9890136719
"58",421.6510009766
"59",410.9389953613
"60",400.5700073242
"61",407.7070007324
"62",414.3210144043
"63",413.9719848633
"64",414.8599853516
"65",417.1310119629
"66",421.6900024414
"67",411.6239929199
"68",414.0650024414
"69",416.4379882813
"70",416.8299865723
"71",417.0109863281
"72",420.6210021973
"73",409.5480041504
"74",410.4440002441
"75",413.7550048828
"76",413.3070068359
"77",418.0889892578
"78",418.0409851074
"79",416.3940124512
"80",417.1770019531
"81",417.9450073242
"82",426.7650146484
"83",424.2309875488
"84",416.5159912109
"85",414.8160095215
"86",416.7290039063
"87",417.9599914551
"88",420.8729858398
"89",420.9039916992
"90",421.4440002441
"91",424.0299987793
"92",423.4129943848
"93",422.7449951172
"94",420.3489990234
"95",419.4110107422
"96",421.5639953613
"97",422.483001709
"98",425.1900024414
"99",423.7340087891
"100",424.2820129395
"101",429.7130126953
"102",430.5719909668
"103",427.3989868164
"104",428.591003418
"105",435.5090026855
"106",441.3890075684
"107",449.424987793
"108",445.7369995117
"109",450.2820129395
"110",458.5549926758
"111",461.425994873
"112",466.0889892578
"113",444.6870117188
"114",449.0109863281
"115",455.0969848633
"116",448.3179931641
"117",451.875
"118",444.6690063477
"119",450.3039855957
"120",446.7219848633
"121",447.9760131836
"122",459.6029968262
"123",458.5360107422
"124",458.5480041504
"125",460.483001709
"126",450.8949890137
"127",452.7279968262
"128",454.7659912109
"129",455.6700134277
"130",455.6709899902
"131",457.5679931641
"132",454.1629943848
"133",453.782989502
"134",454.6189880371
